fish,production_ton
ปลาทูน่าท้องแถบ,1215422646.182
กุ้งขาว,363165099.896
ปลาทูน่าครีบเหลือง,298000118.353
ปลากะตัก,231459743.781
ปลาทรายแดง,226727699.952
ปลาแป้น,161232268.977
ปลาซาร์ดีน,143322533.546
ปลาทูน่าครีบยาว,106537540.343
ปลาหลังเขียว,79655603.898
หอยนางรม,70486061.776
ปลาหมึกกล้วย,68090009.815
ปลาซาบะ,58207838.416
ปลาอลาสก้าโพล็อค,53128486.385
ปลาแซลมอน,50617482.489
ปลาโอดำ,47242244.87
กุ้งกุลาดำ,36770744.1272
ปลาทูแขก,33400551.520000003
ปลายี่สกเทศ,30938744.226
ปลาสวาย,29293410.384
ปลาหมึกกระดอง,28463551.417
ปลาดาบเงิน,27198909.13
ปลาหางแข็ง,25780582.37
ปลานิล,24434890.334000003
ปลาทูน่าตาโต,21996624.035
ปลาตาหวาน,20783186.162
ปลาทูลัง,20654858.901
ปลาสีกุน,20611879.569000002
ปลาหมึกสาย,18601755.154000003
หอยลาย,16476637.0646
ปลาปากคม,16443199.048999999
กุ้งก้ามกราม,16034498.58
กุ้งแดง,13434782.837199999
ปลาทูแขกครีบยาว,13246807.205
ปลาสร้อยขาว,12163342.86
หอยตลับ,11848042.892
สาหร่ายทะเล,10433584.724
แมงกะพรุน,10373007.44
ปูทะเล,10234693.83
ปลาทูสั้น,9440442.807
ปลาจวด,8688684.5
แมงกะพรุนหนัง,8248045.5
ปลาสีกุนข้างเหลือง,7812932.352
ปลาโอลาย,7083757.78
ปลาหมึกกล้วยยักษ์,6844785.312
ปลาตาโต,6615483.191
ปลาแมคเคอเรล,6468604.7870000005
ปลาลิ่น,6162781.8
หอยเชลล์,6008391.784
ปลาทูน่าโบนิโต,5868880.276
ปลายอดจาก,5778107.739
ปลาไส้ตัน,5747521.35
ปลาหนวดฤาษี,5552137.731
หอยแครง,5101677.536
ปลาอินทรี,4952198.168
ปลาไข่,4871909.575200001
ปลาวัว,4756314.55
ปลาตาเดียว,4484804.399
ปลาลิ้นหมา,4479877.793
ปูจั๊กจั่น,4372671.56
ปลากะพงขาว,4278524.286
ปลากระดี่,4169754.957
เคย,4030693.71
ปลาหางแข็งบั้ง,4026032.008
ปลาชะโด,3997914.808
ปลาแฮดด็อก,3980847.348
ปลาเทราต์,3579296.088
ปลาริวกิว,3459804.57
ปลาเป็ด,3346000.0
ปลาสีกุนตาพอง,3343984.878
ปลาโอหลอด,3330325.44
ปลาค็อด,3146621.303
หอยเตาะ,2973810.0
ปลาดุกแอฟริกา,2817287.4299999997
ปลาหมึกหอม,2616767.11
ปลาจะละเม็ดดำ,2575985.846
ปลาหัวแบน,2567585.0
ปูม้า,2562691.783
ปลาทราย,2522611.448
กุ้งโอคักเล็ก,2449214.782
ปลาสลิดทะเล,2385684.694
ปลาเฮก,2311418.378
ปลาหมอไทย,2153125.884
ปลาหมึกยักษ์,2065012.62
กั้งตั๊กแตน,1917952.202
กบนา,1909316.48
ปลาหางเหลือง,1847100.161
ปลาตะเพียน,1767644.149
ปลานวลจันทร์เทศ,1766174.121
ปลาเฮอร์ริง,1714082.69
ปลายี่สกไทย,1661430.0
ปลาสลิด,1621503.314
ปลากะพงข้างเหลือง,1604338.7
กุ้งมังกร,1551980.402
ปลาบลูไวทิง,1450435.98
หอยจุ๊บแจง,1348170.0
ปลาโฮกิ,1302091.6800000002
ปลาไน,1184345.446
ปลากะมงพร้าว,1162182.099
ปลาตูหนา,1146557.54
หอยปากเป็ด,1081100.0
ปลาซันมะ,1018942.5199999999
ปลาเก๋า,1012697.26
หอยหวาน,1011394.48
ปลาทับทิม,901452.6499999999
ปลาสาก,890046.415
หอยมุกจาน,877424.5
ปลาหมูสี,855308.6680000001
กุ้งตะกาด,844763.6680000001
ปลาดุกอุย,842656.08
หอยพอก,787405.0
อาร์ทีเมีย,778384.51
ปลาแจคแมคเคอเรล,777753.13
หอยแมลงภู่,775992.5260000001
ปลากัด,703613.366
กุ้งแชบ๊วย,674208.6309999999
ปลากระเบน,673782.503
ปลาแป้นแถบ,661385.44
จระเข้น้ำจืด,654005.4689999999
ปลาตะเพียนน้ำเค็ม,633262.99
ปลาเรดซีบรีม,627311.085
ปลาจะละเม็ด,624523.977
ปลาหมอเทศ,611554.0
กุ้งคิดดิ,599256.494
ปลานวลจันทร์น้ำจืด,542329.53
กุ้งตะกาดหางแดง,534335.89
ปลาซิวแก้ว,515882.168
ปลากราย,510616.096
สาหร่ายฮิจิกิ,503708.44
ปลาสีกุนหน้านวล,494139.0
ปลาฮาลิบัท,481396.797
ปลาซ่ง,473526.63
ปลานวลจันทร์ทะเล,472867.775
ปลาสร้อยนกเขาทะเล,468021.088
ปลากดทะเล,462916.97000000003
ปลากะพงแดง,460743.463
ปลาช่อน,453795.96499999997
ปลากระทุงเหวแม่หม้าย,434920.04000000004
ปลาแดง,422177.74
กุ้งชมพู,418440.20499999996
ปลาดอกหมากครีบยาว,406391.905
ปลิงทะเล,396337.896
หอยพระจันทร์ลายจุด,389332.0
กุ้งทราย,387869.16
ปลาเหลืองโพรง,382088.0
ปลาฮอชแมคเคอเรล,381991.16
สาหร่ายวากาเมะ,357161.97
ปลาบู่,353849.478
หอยปีกนก,352171.42
ปลาสังกะวาด,350041.0
ปลากระทุงเหว,349812.489
หอยถ่าน,310505.288
ปลาดุกบิ๊กอุย,304156.492
กุ้งติติ,281363.15
ปลากุเรา,279875.34
กุ้งโอคักใหญ่,278443.4
หอยสังข์,275007.0
ปลาแอทคาแมคเคอเรล,258113.8721
ปลาทูน่า,243936.845
กุ้ง,241685.92
ปลาไหลทะเล,240322.26
หอยซิจิมิ,230137.0
ปลาหางควาย,230008.937
ปลาจะละเม็ดเทา,220145.0
ปลากระโทงแทง,213784.08000000002
ปลาหางนกยูง,201720.676
ปลาดอกหมากกระโดง,194511.048
หอยจอบ,187148.263
ปลาโฉมงาม,185920.621
ปลาทรายขาว,178087.24300000002
ปลาแป้นแก้ว,176500.31
กุ้งตะกาดกรีจุด,171665.972
ปูหิมะ,163992.516
ปลาจะละเม็ดขาว,158496.4
ปลาโอขาว,158047.572
ปลาช่อนทะเล,157064.58
ปลาฉลามสีน้ำเงิน,145474.7
กุ้งเชอรี่,145214.80299999999
ปลาหมู,140244.42299999998
ปลาทอง,135498.5865
ปลาทู,128885.89
ปลาตะลุมพุก,128100.95
ปลากะพงแสม,122075.572
ปลาหมึกสายยักษ์,119843.0
ปลาเม็ดขนุน,113978.0
กุ้งน้ำตาล,111941.31899999999
ปลาลูกผึ้ง,111787.514
ปลาปักเป้าหนามทุเรียน,105630.0
ปลาสอด,105554.98
ปลาไหลนา,104966.696
ปลาหมอมาลาวี,104393.917
ปลาสละ,101185.266
หอย,99283.6
ปลาหมึกไดมอนด์,94600.318
ปลานิลแดง,93459.65
ปลาทรายแดงใหญ่,89233.84
ปลาหมอสี,88266.614
ปลากะพงข้างปาน,87956.5
ปลาแขยงข้างลาย,87596.871
กุ้งเหลืองหางฟ้า,86971.0
ปลาเค้าขาว,85033.56899999999
ปลาสลาด,84976.397
ปลาแบล็กเบลลีโรสฟิช,84840.0
ปลาฉลาม,83181.55
ปลากดคัง,81672.754
ปลาหิมะ,79985.88
กุ้งฝอย,78034.59
ปลาสแปรต,76428.71
ปลากระโห้,76283.59
ปูนา,72121.82
ปลาจิ้งจอก,68836.743
ปลาซีบรีม,68290.79
ปลาหางไหม้,67919.765
ปลาเนื้ออ่อน,67659.05
ปลาออสการ์,62938.921
ปลาวาฮู,62192.0
กุ้งกุลาลาย,60577.76
ปลาแปซิฟิกโอเชี่ยนเพิร์ซ,60350.36
ปลากะรังดอกแดง,57230.737
ปลาสำลีญี่ปุ่น,54825.8
กุ้งมังกรเขียว,53997.0
ปลาร็อคฟิช,53796.868
ปลาทูปากจิ้งจก,53737.735
ปลากระดี่หม้อ,52853.924999999996
ปลานกกระจอก,52659.0
ปลาซัคเกอร์,52419.101
กุ้งลอบสเตอร์,51098.44
หอยหมาก,50778.0
กุ้งทะเล,50387.0
ปลาเบญจพรรณ,50000.0
หอยหลอด,49841.4
ปลาก้างพระร่วง,49764.702999999994
ปลาเปคูแดง,49392.33
จระเข้น้ำเค็ม,47605.064
ปลากาแดง,46509.371
ปลาแมวหนวดยาว,46380.466
ปลาเฉา,45717.92
ปลาคาร์ดินัล,43744.653999999995
ปลาสลิดหิน,41444.879
