year_th,crop_year,province_name,commod,product_type,attribute, values ,unit
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เพาะปลูก," 24,733,030 ",ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เพาะปลูก," 3,993,259 ",ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เก็บเกี่ยว," 23,554,193 ",ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เก็บเกี่ยว," 3,768,463 ",ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิต," 8,574,750 ",ตัน
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิต," 1,613,980 ",ตัน
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 347 ,กก./ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 404 ,กก./ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 364 ,กก./ไร่
2564,2564/65,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 428 ,กก./ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เพาะปลูก," 24,858,921 ",ไร่
2565,2565/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เพาะปลูก," 3,978,512 ",ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เก็บเกี่ยว," 22,958,514 ",ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เก็บเกี่ยว," 3,816,737 ",ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิต," 8,373,480 ",ตัน
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิต," 1,664,556 ",ตัน
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 337 ,กก./ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 418 ,กก./ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 365 ,กก./ไร่
2565,2565/66,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 436 ,กก./ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เพาะปลูก," 24,687,832 ",ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เพาะปลูก," 3,923,008 ",ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,เนื้อที่เก็บเกี่ยว," 23,834,783 ",ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,เนื้อที่เก็บเกี่ยว," 3,842,154 ",ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิต," 8,736,110 ",ตัน
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิต," 1,654,782 ",ตัน
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 354 ,กก./ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เพาะปลูก, 422 ,กก./ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลิในพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 367 ,กก./ไร่
2566,2566/67,ประเทศไทย,ข้าวนาปี,ข้าวเจ้าหอมมะลินอกพื้นที่,ผลผลิตต่อเนื้อที่เก็บเกี่ยว, 431 ,กก./ไร่
