country,fish,production_ton
กรีซ,กุ้งกุลาดำ,15.620000000000001
กรีซ,กุ้งขาว,216.0
กรีซ,กุ้งเชอรี่,14.0
กรีซ,กุ้งแรด,10.5
กรีซ,ปลากระดี่มุก,1.0
กรีซ,ปลากระเบน,10.0
กรีซ,ปลากระแห,2.0
กรีซ,ปลากราย,10.0
กรีซ,ปลากะตัก,51232.4
กรีซ,ปลากัด,53.0
กรีซ,ปลากั้ง,0.12
กรีซ,ปลาการ่า,20.0
กรีซ,ปลาคาร์พ,20.0
กรีซ,ปลาคูลี่,12.0
กรีซ,ปลาจิ้งจอก,4.5
กรีซ,ปลาชีเวลเลีย,0.42
กรีซ,ปลาซัคเกอร์,22.0
กรีซ,ปลาซิลเวอร์ดอลล่า,0.35
กรีซ,ปลาซิวข้างขวาน,4.0
กรีซ,ปลาตะเพียน,0.1
กรีซ,ปลาตะเพียนอินโดตาแดง,10.0
กรีซ,ปลาทรงเครื่อง,12.36
กรีซ,ปลาทรายแดง,97184.0
กรีซ,ปลาทูน่าครีบเหลือง,1247189.57
กรีซ,ปลาทูน่าท้องแถบ,1783353.71
กรีซ,ปลาทูลัง,256841.02
กรีซ,ปลาทูสั้น,39082.65
กรีซ,ปลานีออน,10.0
กรีซ,ปลาปอมปาดัวร์,20.6
กรีซ,ปลาปักเป้าจุดดำ,10.19
กรีซ,ปลาปักเป้าซีลอน,1.19
กรีซ,ปลาพริสเทลล่า,10.0
กรีซ,ปลาฟอกเทล,2.0
กรีซ,ปลาฟิงเกอร์,10.0
กรีซ,ปลารัมมี่โนส,1.0
กรีซ,ปลารีดฟิช,10.09
กรีซ,ปลาลูกผึ้ง,25.0
กรีซ,ปลาสวาย,4.0
กรีซ,ปลาสอด,22.0
กรีซ,ปลาหมอกล้วยหอม,12.0
กรีซ,ปลาหมอจาขอบ,21.0
กรีซ,ปลาหมอดีมาสัน,2.08
กรีซ,ปลาหมอตาล,1.0
กรีซ,ปลาหมอบลูดอลฟิน,1.0
กรีซ,ปลาหมอปากยาวน้ำเงิน,20.0
กรีซ,ปลาหมอฟลาวเวอร์ฮอร์น,10.09
กรีซ,ปลาหมอมานาเกวนเซ่,0.07
กรีซ,ปลาหมอมาลาวี,63.98
กรีซ,ปลาหมอมาลาวีเหลือง,10.12
กรีซ,ปลาหมอริวูเลตัส,1.12
กรีซ,ปลาหมอวีนัส,13.0
กรีซ,ปลาหมอสี,56.2
กรีซ,ปลาหมอสีซูลู,10.24
กรีซ,ปลาหมอสีไต้หวันรีฟ,10.0
กรีซ,ปลาหมอสุรินัมเอนสิส,10.12
กรีซ,ปลาหมอเทกซัสแดง,0.36
กรีซ,ปลาหมอโพลีนี่,0.09
กรีซ,ปลาหมอไฟร์เมาท์,10.12
กรีซ,ปลาหมึกกล้วย,112608.0
กรีซ,ปลาหมึกยักษ์,3998.4
กรีซ,ปลาหมูกระโดงสูง,0.12
กรีซ,ปลาหมูหางแดง,0.3
กรีซ,ปลาหมูอินโด,20.0
กรีซ,ปลาหลังเขียว,3978.0
กรีซ,ปลาหางนกยูง,62.75
กรีซ,ปลาหางไหม้,24.08
กรีซ,ปลาออตโต้,22.5
กรีซ,ปลาออสการ์,27.12
กรีซ,ปลาอะโรวาน่าเงิน,10.06
กรีซ,ปลาเฉี่ยว,11.0
กรีซ,ปลาเซลฟินยักษ์,13.0
กรีซ,ปลาเทวดา,19.5
กรีซ,ปลาเรนโบว์หางยาว,2.0
กรีซ,ปลาเสือพ่นน้ำ,1.0
กรีซ,ปลาเสือสุมาตรา,5.0
กรีซ,ปลาแซลมอน,60.0
กรีซ,ปลาแบล็คโกสท์,10.0
กรีซ,ปลาแป้น,4.0
กรีซ,ปลาแพะ,10.36
กรีซ,ปลาแมวกระโดงสูง,10.0
กรีซ,ปลาแรด,1.0
กรีซ,ปลาแรมเยอรมัน,10.0
กรีซ,ปลาโรซี่,3.0
