year,fish,production_ton
2022,ปลาทูน่าท้องแถบ,359760002.141
2022,กุ้งขาว,126321025.142
2022,ปลาทูน่าครีบเหลือง,90279913.86400001
2022,ปลากะตัก,75572097.979
2022,ปลาทรายแดง,63946325.978
2022,ปลาแป้น,43881500.346
2022,ปลาซาร์ดีน,43797511.071
2022,ปลาทูน่าครีบยาว,26312029.03
2022,ปลาหมึกกล้วย,21177861.097
2022,หอยนางรม,20896359.839
2022,ปลาซาบะ,19893566.562
2022,ปลาแซลมอน,19619145.897
2022,ปลาหลังเขียว,16385414.644
2022,ปลาโอดำ,15748178.473
2022,ปลาทูแขก,11677388.13
2022,กุ้งกุลาดำ,10760619.1432
2022,ปลายี่สกเทศ,10033324.04
2022,ปลาอลาสก้าโพล็อค,8755168.199
2022,ปลาหางแข็ง,8641532.35
2022,ปลาหมึกกระดอง,8559403.143
2022,ปลาทูน่าตาโต,8302385.441
2022,ปลานิล,8100999.735
2022,ปลาสีกุน,7524686.53
2022,ปลาดาบเงิน,7286734.54
2022,ปูทะเล,6375712.18
2022,ปลาหมึกสาย,6084361.494
2022,ปลาทูลัง,5723069.82
2022,ปลาปากคม,5557677.56
2022,ปลาสวาย,5467805.633
2022,กุ้งแดง,5241003.3761
2022,ปลาทูแขกครีบยาว,4825984.41
2022,หอยตลับ,4593842.782
2022,กุ้งก้ามกราม,3994706.574
2022,ปลาจวด,3823511.341
2022,ปลาสร้อยขาว,3341964.44
2022,ปลาตาหวาน,3166937.8
2022,ปลาไส้ตัน,3108522.0
2022,ปลาตาโต,2996157.791
2022,แมงกะพรุนหนัง,2835117.0
2022,ปลาโอลาย,2803964.722
2022,สาหร่ายทะเล,2798368.859
2022,หอยแครง,2684270.0
2022,ปลาตาเดียว,2667078.5
2022,ปลาลิ่น,2384676.7
2022,ปลาหมึกกล้วยยักษ์,2240801.524
2022,ปลาสีกุนข้างเหลือง,2113234.53
2022,ปลากะพงขาว,2089954.969
2022,ปลาหนวดฤาษี,2006610.1199999999
2022,แมงกะพรุน,1799705.72
2022,ปลาทูสั้น,1669562.13
2022,ปลาชะโด,1659841.379
2022,ปลาอินทรี,1600497.38
2022,ปลาริวกิว,1597698.0
2022,ปลาไข่,1586566.2921
2022,ปลาหมึกหอม,1515532.39
2022,เคย,1446400.55
2022,ปลาแมคเคอเรล,1434799.391
2022,ปลาทูน่าโบนิโต,1410931.632
2022,ปลาเทราต์,1406189.098
2022,ปลาเป็ด,1378000.0
2022,ปลายอดจาก,1377731.0
2022,ปลากระดี่,1357133.194
2022,ปลาหมอไทย,1315499.51
2022,ปลาหางแข็งบั้ง,1282765.6
2022,หอยลาย,1193154.5046
2022,ปลาหัวแบน,999290.0
2022,ปลาแฮดด็อก,970259.97
2022,ปลาเฮก,959309.443
2022,ปลาทราย,941060.1
2022,ปลาค็อด,908763.089
2022,หอยเตาะ,901160.0
2022,กุ้งมังกร,823950.475
2022,ปลาวัว,820635.55
2022,ปลาสลิดทะเล,794115.4
2022,หอยเชลล์,780782.331
2022,ปูม้า,780160.852
2022,หอยหวาน,770455.4
2022,หอยจุ๊บแจง,758110.0
2022,ปูจั๊กจั่น,739300.0
2022,ปลาสีกุนตาพอง,724609.03
2022,ปลาจะละเม็ดดำ,721108.25
2022,ปลานวลจันทร์เทศ,657365.791
2022,กั้งตั๊กแตน,655289.3
2022,ปลาเฮอร์ริง,654199.63
2022,ปลาหมึกยักษ์,626704.84
2022,ปลาตูหนา,593233.26
2022,ปลากะพงข้างเหลือง,580213.0
2022,ปลาโฮกิ,575916.76
2022,ปลาตะเพียน,572849.372
2022,กบนา,548204.61
2022,ปลาลิ้นหมา,517824.68
2022,ปลาดุกแอฟริกา,514463.4
2022,ปลาดุกอุย,483325.92
